meal_name,ingredients,calories_per_serving,carbs,proteins,fats,diet_type,meal_time,serving_size,cost_per_serving_in_inr,region,meal_time_categories
Chole Bhature,"Chickpeas, Refined Flour, Spices, Onion",450,55,15,18,Vegetarian,breakfast/lunch,1 plate,50,North Indian,"['breakfast', 'lunch']"
Aloo Paratha,"Wheat Flour, Potato, Spices, Butter",290,35,6,12,Vegetarian,breakfast/lunch,1 paratha,25,North Indian,"['breakfast', 'lunch']"
Butter Chicken,"Chicken, Butter, Cream, Tomato, Spices",490,18,28,32,Non-Vegetarian,dinner,1 bowl,80,North Indian,['dinner']
Kadhi Pakora,"Besan, Curd, Spices, Onion",260,20,8,16,Vegetarian,lunch,1 bowl,30,North Indian,['lunch']
Litti Chokha,"Wheat Flour, Sattu, Brinjal, Potato, Tomato",360,50,10,12,Vegetarian,snacks,3 littis with chokha,25,North Indian,['snacks']
Samosa,"Refined Flour, Potato, Peas, Spices",150,20,3,8,Vegetarian,breakfast/snacks,1 piece,10,North Indian,"['breakfast', 'snacks']"
Puri Sabzi,"Wheat Flour, Potato, Spices",330,40,5,15,Vegetarian,lunch/dinner,4 puris + sabzi,35,North Indian,"['lunch', 'dinner']"
Kachori Aloo,"Refined Flour, Urad Dal, Potato, Spices",400,45,6,22,Vegetarian,breakfast/snacks,2 kachori + sabzi,30,North Indian,"['breakfast', 'snacks']"
Chicken Curry,"Chicken, Onion, Tomato, Spices",420,12,26,28,Non-Vegetarian,dinner,1 bowl,70,North Indian,['dinner']
Tandoori Roti,Wheat Flour,100,20,3,1,Vegetarian,lunch/dinner,1 roti,8,North Indian,"['lunch', 'dinner']"
Jeera Rice,"Basmati Rice, Cumin, Ghee",220,40,4,5,Vegetarian,lunch/dinner,1 plate,20,North Indian,"['lunch', 'dinner']"
Boondi Raita,"Curd, Boondi, Spices",150,8,6,8,Vegetarian,lunch/dinner,1 bowl,15,North Indian,"['lunch', 'dinner']"
Vegetable Pulao,"Rice, Vegetables, Spices",280,42,6,10,Vegetarian,lunch/dinner,1 plate,30,North Indian,"['lunch', 'dinner']"
